Date,Country,Geography,Labour force characteristics,Sex,Age group,Statistics,Data type,UOM,SCALAR_FACTOR,Value
2014-07,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1075.2
2014-08,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1072.7
2014-09,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1073.4
2014-10,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1084.4
2014-11,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1070.9
2014-12,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1050.5
2015-01,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1043.0
2015-02,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1036.5
2015-03,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1068.2
2015-04,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1067.0
2015-05,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1097.1
2015-06,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1064.7
2015-07,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1063.0
2015-08,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1034.1
2015-09,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1055.9
2015-10,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1050.2
2015-11,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1020.2
2015-12,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1069.1
2016-01,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1059.7
2016-02,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1070.8
2016-03,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1056.5
2016-04,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1066.2
2016-05,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1048.2
2016-06,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1026.5
2016-07,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1059.1
2016-08,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1044.9
2016-09,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1046.9
2016-10,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1075.1
2016-11,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1063.1
2016-12,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1046.8
2017-01,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1077.7
2017-02,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1010.8
2017-03,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1034.1
2017-04,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1035.4
2017-05,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1023.8
2017-06,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1068.0
2017-07,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1058.6
2017-08,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1078.2
2017-09,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1054.3
2017-10,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1039.6
2017-11,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1049.2
2017-12,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1026.7
2018-01,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1010.6
2018-02,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1055.7
2018-03,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1044.7
2018-04,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1058.9
2018-05,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1027.5
2018-06,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1032.2
2018-07,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1066.5
2018-08,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1031.5
2018-09,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1054.7
2018-10,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1026.8
2018-11,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1063.0
2018-12,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1074.5
2019-01,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1058.9
2019-02,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1055.9
2019-03,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1053.5
2019-04,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1003.2
2019-05,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1026.5
2019-06,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1010.1
2019-07,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,997.6
2019-08,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1024.9
2019-09,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1025.2
2019-10,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1017.6
2019-11,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1015.1
2019-12,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,999.6
2020-01,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1019.5
2020-02,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1014.6
2020-03,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,876.0
2020-04,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,772.4
2020-05,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,795.6
2020-06,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,910.9
2020-07,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,975.1
2020-08,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,962.9
2020-09,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1035.7
2020-10,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1028.2
2020-11,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,978.9
2020-12,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,986.3
2021-01,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,889.2
2021-02,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,971.7
2021-03,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,983.2
2021-04,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,977.4
2021-05,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,935.6
2021-06,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1028.1
2021-07,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,984.9
2021-08,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1006.5
2021-09,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,987.9
2021-10,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,968.8
2021-11,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1003.1
2021-12,Canada,Canada,Part-time employment ,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,1005.2
2013-01,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,340.6
2013-02,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,347.6
2013-03,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,362.8
2013-04,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,353.3
2013-05,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,342.7
2013-06,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,337.2
2013-07,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,343.9
2013-08,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,336.0
2013-09,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,348.6
2013-10,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,328.2
2013-11,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,317.1
2013-12,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,345.3
2014-01,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,332.7
2014-02,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,337.1
2014-03,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,332.1
2014-04,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,336.9
2014-05,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,342.2
2014-06,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,345.9
2014-07,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,344.3
2014-08,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,334.6
2014-09,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,309.2
2014-10,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,313.1
2014-11,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,313.9
2014-12,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,311.8
2015-01,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,320.1
2015-02,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,310.8
2015-03,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,332.9
2015-04,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,318.6
2015-05,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,315.5
2015-06,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,321.0
2015-07,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,313.0
2015-08,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,331.3
2015-09,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,338.3
2015-10,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,336.2
2015-11,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,352.2
2015-12,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,339.7
2016-01,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,343.0
2016-02,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,340.7
2016-03,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,328.9
2016-04,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,340.8
2016-05,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,329.3
2016-06,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,321.5
2016-07,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,316.4
2016-08,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,312.0
2016-09,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,320.6
2016-10,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,321.6
2016-11,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,325.7
2016-12,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,335.0
2017-01,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,323.0
2017-02,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,322.8
2017-03,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,323.3
2017-04,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,316.6
2017-05,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,323.2
2017-06,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,311.9
2017-07,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,330.2
2017-08,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,314.6
2017-09,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,315.6
2017-10,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,312.6
2017-11,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,304.8
2017-12,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,300.6
2018-01,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,301.8
2018-02,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,310.3
2018-03,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,298.9
2018-04,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,296.0
2018-05,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,305.1
2018-06,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,319.9
2018-07,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,300.1
2018-08,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,314.2
2018-09,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,309.2
2018-10,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,308.4
2018-11,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,287.3
2018-12,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,294.2
2019-01,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,292.1
2019-02,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,289.6
2019-03,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,290.6
2019-04,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,296.7
2019-05,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,246.4
2019-06,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,263.5
2019-07,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,278.5
2019-08,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,278.2
2019-09,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,264.8
2019-10,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,285.5
2019-11,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,295.3
2019-12,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,289.3
2020-01,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,296.0
2020-02,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,290.2
2020-03,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,444.5
2020-04,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,665.2
2020-05,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,676.3
2020-06,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,643.1
2020-07,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,518.9
2020-08,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,458.0
2020-09,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,441.2
2020-10,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,431.1
2020-11,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,433.4
2020-12,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,419.4
2021-01,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,485.6
2021-02,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,404.8
2021-03,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,398.5
2021-04,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,421.0
2021-05,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,381.9
2021-06,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,367.7
2021-07,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,368.3
2021-08,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,356.0
2021-09,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,352.5
2021-10,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,341.5
2021-11,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,287.8
2021-12,Canada,Canada,Unemployment,Females,25 to 54 years,Estimate,Seasonally adjusted,Persons,thousands,300.1
2013-01,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.7
2013-02,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.8
2013-03,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,6.1
2013-04,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.9
2013-05,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.7
2013-06,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.6
2013-07,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.7
2013-08,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.6
2013-09,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.8
2013-10,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.5
2013-11,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.3
2013-12,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.8
2014-01,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.6
2014-02,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.6
2014-03,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.6
2014-04,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.7
2014-05,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.8
2014-06,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.8
2014-07,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.8
2014-08,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.6
2014-09,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.2
2014-10,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.3
2014-11,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.3
2014-12,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.3
2015-01,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.4
2015-02,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.2
2015-03,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.6
2015-04,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.4
2015-05,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.3
2015-06,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.4
2015-07,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.2
2015-08,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.5
2015-09,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.7
2015-10,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.7
2015-11,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.9
2015-12,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.7
2016-01,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.7
2016-02,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.7
2016-03,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.5
2016-04,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.7
2016-05,Canada,Canada,Unemployment rate,Females,25 to 54 years,Estimate,Seasonally adjusted,Percentage,units,5.5
